name,owner,full_name,description,stars,gameScore,language,license,homepage,html_url,topics,pushed_at
paint-board,LHRUN,LHRUN/paint-board,🎨  A powerful multi-end drawing board that brings together a lot of creative brushes to experience a whole new range of drawing effects!,2429,2584,TypeScript,MIT,https://songlh.top/paint-board/,https://github.com/LHRUN/paint-board,canvas|canvas-game|drawing|drawing-board|drawingboard|javascript|sketch|whiteboard,2025-06-12T13:24:45Z
elevatorsaga,magwo,magwo/elevatorsaga,The elevator programming game!,2479,2529,JavaScript,MIT,http://play.elevatorsaga.com,https://github.com/magwo/elevatorsaga,,2022-11-21T23:38:16Z
epicgames-freebies-claimer,Revadike,Revadike/epicgames-freebies-claimer,Claim available free game promotions from the Epic Games Store.,2243,2343,JavaScript,MIT,,https://github.com/Revadike/epicgames-freebies-claimer,claimer|epic-games|epicgames|epicgames-freebies-claimer|free-games|freebies|giveaway|giveaway-bot|giveawaybot|hacktoberfest,2022-12-28T02:26:08Z
H5-dash-hls-rtmp-webrtc,Tinywan,Tinywan/H5-dash-hls-rtmp-webrtc,:sunflower: 传统直播：HTML5播放器、M3U8直播/点播、RTMP直播、低延迟、推流/播流地址鉴权。:green_apple: 实时直播：WebRTC,2147,2297,JavaScript,MIT,http://github.tinywan.com/html5-dash-hls-rtmp/,https://github.com/Tinywan/H5-dash-hls-rtmp-webrtc,dash|hls|html5|html5-video|m3u8|mediaelement|player|rtmp|videojs|webrtc,2020-01-04T03:04:01Z
mpegts.js,xqq,xqq/mpegts.js,HTML5 MPEG2-TS / FLV Stream Player,2083,2259,JavaScript,Apache-2.0,,https://github.com/xqq/mpegts.js,av1|hevc|html5|livestream|media-source-extensions|mpeg-ts|mpegts|mse|player|video|video-player,2025-07-23T15:23:44Z
games,channingbreeze,channingbreeze/games,一个基于Phaser的小游戏集合,2168,2248,JavaScript,MIT,http://www.phaser-china.com/,https://github.com/channingbreeze/games,games|html5|phaser,2024-02-18T20:57:42Z
t-rex-runner,wayou,wayou/t-rex-runner,the t-rex runner game extracted from chromium,2083,2183,JavaScript,BSD-3-Clause,https://chromedino.com,https://github.com/wayou/t-rex-runner,chrome|easter-egg|google|javascript|t-rex-runner,2024-07-28T08:43:00Z
force-graph,vasturiano,vasturiano/force-graph,Force-directed graph rendered on HTML5 canvas,1820,1966,JavaScript,MIT,https://vasturiano.github.io/force-graph/example/directional-links-particles/,https://github.com/vasturiano/force-graph,canvas|d3js|force|force-directed-graph|simulation,2025-07-03T21:02:20Z
three-cesium-examples,z2586300277,z2586300277/three-cesium-examples,WebGL Three.js Cesium.js Examples And Demo - WebGL 的 Three.js 和 Cesium.js 案例 --- Star ---点星星,1758,1938,JavaScript,Apache-2.0,https://z2586300277.github.io/three-cesium-examples/,https://github.com/z2586300277/three-cesium-examples,cesium|three|webgl,2025-08-26T09:07:00Z
q1k3,phoboslab,phoboslab/q1k3,A tiny FPS for js13k,1898,1898,JavaScript,MIT,,https://github.com/phoboslab/q1k3,,2024-08-30T07:40:32Z
moovie.js,BMSVieira,BMSVieira/moovie.js,Movie focused HTML5 Player,1703,1863,JavaScript,MIT,https://mooviejs.com/,https://github.com/BMSVieira/moovie.js,adjust-captions|captions|dashjs|html5|moovie|player|player-controls|player-video|vanilla-javascript|vanillajs|webtorrent,2025-01-03T10:28:58Z
EatKano,arcxingye,arcxingye/EatKano,H5 Games,1797,1847,JavaScript,MIT,https://xingye.me/game/eatkano,https://github.com/arcxingye/EatKano,,2025-04-14T16:12:31Z
ShadowEditor,tengge1,tengge1/ShadowEditor,"Cross-platform 3D scene editor based on three.js, golang and mongodb for desktop and web. https://tengge1.github.io/ShadowEditor-examples/",1670,1790,JavaScript,MIT,,https://github.com/tengge1/ShadowEditor,editor|game-engine|gis|golang|lol|scene|shadow-editor|three|three-editor|threejs|web-gis|webgl,2024-12-10T00:16:30Z
ray-optics,ricktu288,ricktu288/ray-optics,"A web app for creating and simulating 2D geometric optical scenes, with a gallery of (interactive) demos.",1536,1744,JavaScript,Apache-2.0,https://phydemo.app/ray-optics/,https://github.com/ricktu288/ray-optics,canvas|geometric-optics|html5|optics|optics-simulation|ray-optics,2025-08-24T20:39:29Z
HexGL,BKcore,BKcore/HexGL,"Source code of HexGL, a futuristic HTML5 racing game",1660,1710,JavaScript,MIT,http://hexgl.bkcore.com,https://github.com/BKcore/HexGL,,2024-06-29T03:59:36Z
slack-poker-bot,CharlieHess,CharlieHess/slack-poker-bot,A bot that deals Texas Hold'em games in Slack,1676,1676,JavaScript,MIT,,https://github.com/CharlieHess/slack-poker-bot,,2018-08-02T19:11:24Z
flatris,ovidiuch,ovidiuch/flatris,Fast-paced two-player web game,1478,1538,JavaScript,MIT,,https://github.com/ovidiuch/flatris,game|offline|pwa|react|redux|tetris,2024-08-01T22:48:25Z
videogular,videogular,videogular/videogular,The HTML5 video player for AngularJS,1466,1516,JavaScript,MIT,http://videogular.github.io/videogular/,https://github.com/videogular/videogular,,2018-07-08T19:32:14Z
proxx,GoogleChromeLabs,GoogleChromeLabs/proxx,A game of proximity,1348,1398,TypeScript,Apache-2.0,https://proxx.app,https://github.com/GoogleChromeLabs/proxx,,2024-09-26T21:58:22Z
blockly-games,google,google/blockly-games,Games for tomorrow's programmers.,1340,1390,JavaScript,Apache-2.0,https://blockly.games/,https://github.com/google/blockly-games,,2024-07-19T11:15:40Z
indigo-player,matvp91,matvp91/indigo-player,"Highly extensible, modern, JavaScript video player. Handles MPEG-Dash / HLS / MPEG-4 and is built on top of the HTML5 video element.",1249,1389,TypeScript,Apache-2.0,https://matvp91.github.io/indigo-player/,https://github.com/matvp91/indigo-player,dash|drm|hls|hlsjs|html5-video|mpeg-dash|shaka-player|video|video-player,2024-09-22T09:02:17Z
phaser-es6-webpack,leandr0ck,leandr0ck/phaser-es6-webpack,A bootstrap project for create games with Phaser + ES6 + Webpack.,1287,1357,JavaScript,MIT,,https://github.com/leandr0ck/phaser-es6-webpack,bootstrap|cordova|es6|game|phaser|phaser-es6-webpack|webpack,2020-09-06T12:43:24Z
fieldplay,anvaka,anvaka/fieldplay,A vector field explorer,1256,1356,JavaScript,MIT,https://anvaka.github.io/fieldplay/,https://github.com/anvaka/fieldplay,glsl|gpu|particles|vector-field|webgl,2025-01-23T04:47:12Z
jeelizWeboji,jeeliz,jeeliz/jeelizWeboji,JavaScript/WebGL real-time face tracking and expression detection library. Build your own emoticons animated in real time in the browser! SVG and THREE.js integration demos are provided.,1088,1328,JavaScript,Apache-2.0,https://jeeliz.com,https://github.com/jeeliz/jeelizWeboji,animated|augmented-reality|camera|computer-vision|deep-learning|emoticon|face|face-detection|face-expression|face-tracking|javascript|morph|real-time|threejs|tracking|webar|webcam|webgl|weboji,2024-02-06T19:36:18Z
Expo-Crossy-Road,EvanBacon,EvanBacon/Expo-Crossy-Road,"🐥🚙 Crossy Road game clone made in Expo (iOS, Android, web), THREE.js, Tween, React Native. 🐔",1090,1290,TypeScript,MIT,https://crossyroad.expo.app,https://github.com/EvanBacon/Expo-Crossy-Road,android|clone|cross-platform|crossy-road|expo|game|ios|javascript|opengl|react-native|react-navigation|reactjs|threejs|tween|webgl,2025-01-14T18:08:09Z
yet-another-anime-game-launcher,yaagl,yaagl/yet-another-anime-game-launcher,Discord server https://discord.gg/HrV52MgSC2 QQ频道 https://pd.qq.com/s/1dwwmkgq4,1147,1252,TypeScript,MIT,,https://github.com/yaagl/yet-another-anime-game-launcher,yaagl,2025-08-22T02:32:05Z
graph,cosmosgl,cosmosgl/graph,GPU-accelerated force graph layout and rendering,1004,1224,TypeScript,MIT,https://cosmosgl.github.io/graph,https://github.com/cosmosgl/graph,embeddings|force|graph|network|simulation|visualization|webgl,2025-08-26T09:55:15Z
TDungeon,cassiozen,cassiozen/TDungeon,TDungeon is a small adventure game that runs in the Typescript type system,1186,1186,TypeScript,MIT,,https://github.com/cassiozen/TDungeon,,2022-09-23T17:54:33Z
casino-server,floatinghotpot,floatinghotpot/casino-server,":fire: An online poker game server powered by Redis, node.js and socket.io",1114,1184,JavaScript,MIT,,https://github.com/floatinghotpot/casino-server,casino|game|javascript|poker|poker-game-server|server|texasholdem,2020-04-26T10:41:29Z
webgl-wind,mapbox,mapbox/webgl-wind,Wind power visualization with WebGL particles,1048,1178,JavaScript,ISC,https://mapbox.github.io/webgl-wind/demo/,https://github.com/mapbox/webgl-wind,gpu|javascript|map|particles|simulation|visualization|webgl|wind,2022-07-20T05:30:07Z
h264-live-player,131,131/h264-live-player,A live h264 player for the browser (ideal for raspberrypi / raspicam ),1095,1165,JavaScript,MIT,,https://github.com/131/h264-live-player,broadway|canvas|h264|html5|raspberry-pi|raspicam|video,2021-03-06T03:25:35Z
rx-player,canalplus,canalplus/rx-player,DASH/Smooth HTML5 Video Player,910,1164,TypeScript,Apache-2.0,https://developers.canal-plus.com/rx-player/,https://github.com/canalplus/rx-player,dash|eme|hss|html5|live-streaming|mse|player|streaming|video|video-player|video-streaming,2025-08-20T15:24:04Z
Cultivation,Grasscutters,Grasscutters/Cultivation,A custom launcher designed to make it as easy as possible to proxy anime game traffic to private servers.,1086,1130,TypeScript,Apache-2.0,,https://github.com/Grasscutters/Cultivation,,2025-07-01T20:32:10Z
wiki,privateersclub,privateersclub/wiki,🌊 The most comprehensive game piracy wiki on the internet.,951,1129,TypeScript,Unlicense,https://megathread.pages.dev/,https://github.com/privateersclub/wiki,games|piracy|piratedgames,2025-08-24T15:22:12Z
phaser3-typescript,digitsensitive,digitsensitive/phaser3-typescript,Phaser 3 and TypeScript,1019,1109,TypeScript,MIT,,https://github.com/digitsensitive/phaser3-typescript,html5-game|phaser|phaser-boilerplate|phaser-framework|phaser-game|phaser-tutorial|phaser3|phaser3-example|typescript,2024-03-27T13:54:27Z
underrun,phoboslab,phoboslab/underrun,Twin stick shooter game in 13kb of JavaScript/WebGL,1094,1094,JavaScript,MIT,,https://github.com/phoboslab/underrun,,2022-01-26T19:29:41Z
contained.af,genuinetools,genuinetools/contained.af,"A stupid game for learning about containers, capabilities, and syscalls.",905,1045,JavaScript,MIT,https://contained.af,https://github.com/genuinetools/contained.af,apparmor|containers|docker|game|linux|opencontainers|seccomp|security|syscalls,2023-05-11T20:38:28Z
blockrain.js,Aerolab,Aerolab/blockrain.js,HTML5 Tetris Game for jQuery,975,1025,JavaScript,MIT,http://aerolab.github.io/blockrain.js,https://github.com/Aerolab/blockrain.js,,2018-07-09T19:20:26Z
Never-Blink,ByronHsu,ByronHsu/Never-Blink,👀Blink and lose.,904,974,JavaScript,MIT,,https://github.com/ByronHsu/Never-Blink,blink|flask|game|peerjs|react|socketio|video-streaming,2022-11-22T03:51:53Z
emoji-minesweeper,muan,muan/emoji-minesweeper,:boom::bomb::boom:,893,973,JavaScript,MIT,https://muan.co/emoji-minesweeper/,https://github.com/muan/emoji-minesweeper,emoji|game|minesweeper,2022-09-10T19:33:26Z
react-music-player,lijinke666,lijinke666/react-music-player,[Stop the maintenance] :musical_note: Maybe the best beautiful HTML5 responsive player component for react :),746,946,JavaScript,MIT,https://lijinke666.github.io/react-music-player/,https://github.com/lijinke666/react-music-player,audio|audio-player|cd-player|component|html5|lyrics|music|player|react|react-audio-player|react-h5-music-player|react-jinke-music-player|react-music|react-music-player|react-player,2024-06-04T12:34:06Z
realtime-multiplayer-in-html5,ruby0x1,ruby0x1/realtime-multiplayer-in-html5,"Read the full article: http://buildnewgames.com/real-time-multiplayer/ An example using node.js, socket.io and HTML5 Canvas to explain and demonstrate realtime multiplayer games in the browser.",912,912,JavaScript,MIT,,https://github.com/ruby0x1/realtime-multiplayer-in-html5,,2020-06-12T16:55:13Z
polygon-shredder,spite,spite/polygon-shredder,The polygon shredder that takes many cubes and turns them into confetti,859,909,JavaScript,MIT,,https://github.com/spite/polygon-shredder,demo|glsl|javascript|threejs|webgl,2016-12-15T01:22:24Z
openplayerjs,openplayerjs,openplayerjs/openplayerjs,Lightweight HTML5 video/audio player with smooth controls and ability to play VAST/VPAID/VMAP ads,614,883,TypeScript,MIT,https://www.openplayerjs.com,https://github.com/openplayerjs/openplayerjs,audio|dash|hls|html5|html5-audio|html5-video|html5-video-player|javascript|openplayerjs|player|typescript|vast|video,2025-08-15T11:11:35Z
expo-three,expo,expo/expo-three,Utilities for using THREE.js on Expo,819,879,TypeScript,MIT,,https://github.com/expo/expo-three,ar-session|arkit|expo|javascript|javascript-game|threejs,2024-07-31T16:36:08Z
wind-js,Esri,Esri/wind-js,An demo animation of wind on a Canvas layer in the JSAPI,775,865,JavaScript,MIT,,https://github.com/Esri/wind-js,canvas|cartography|esri|gfs-data|javascript|javascript-library|visualization|web-development|wind,2017-05-02T18:14:57Z
d-zone,d-zone-org,d-zone-org/d-zone,An ambient life simulation driven by user activity within a Discord server,588,860,JavaScript,ISC,,https://github.com/d-zone-org/d-zone,autonomous-characters|bot|canvas|canvas-game|cubes|discord|discord-bot|discord-server|dzone|ecs|entity-component-system|isometric|node|pixel-art|pixi|pixi-js|pixijs|scene|simulation|websockets,2025-07-29T19:38:49Z
invaderz,victorqribeiro,victorqribeiro/invaderz,"Space invaders, but the invaders evolve with genetic algorithm",711,821,JavaScript,MIT,https://victorribeiro.com/invaderz,https://github.com/victorqribeiro/invaderz,evolution|evolutionary-algorithm|game|genetic-algorithm|javascript|space-invaders,2022-04-14T11:57:44Z
phaser-catch-the-cat,ganlvtech,ganlvtech/phaser-catch-the-cat,An HTML5 game 'Catch The Cat' powered by Phaser 3,700,800,TypeScript,MIT,https://ganlvtech.github.io/phaser-catch-the-cat/,https://github.com/ganlvtech/phaser-catch-the-cat,game|javascript|phaser|phaser3|typescript,2022-12-25T14:08:41Z
MediaTracker,bonukai,bonukai/MediaTracker,"Self hosted media tracker for movies, tv shows, video games, books and audiobooks",795,795,TypeScript,MIT,,https://github.com/bonukai/MediaTracker,,2025-02-20T06:54:13Z
videogular2,videogular,videogular/videogular2,The HTML5 video player for Angular 2,670,790,TypeScript,MIT,https://videogular.github.io/videogular2-showroom/#/,https://github.com/videogular/videogular2,angular|angular-2|angular-components|angular2|html5-video-player|video|video-player,2022-05-12T07:45:39Z
moonrider,supermedium,supermedium/moonrider,🌕🏄🏿 Surf the musical road among the stars. Side project built by two people in a few months to demonstrate WebXR.,632,772,JavaScript,MIT,https://moonrider.xyz,https://github.com/supermedium/moonrider,aframe|browser|html|javascript|threejs|web|webgl|webvr|webxr,2024-05-02T12:08:12Z
shader-doodle,halvves,halvves/shader-doodle,A friendly web-component for writing and rendering shaders.,569,769,JavaScript,MIT,https://shader-doodle-overview.glitch.me/,https://github.com/halvves/shader-doodle,canvas|creative-coding|fragment-shader|glsl|glsl-sandbox|html-canvas|javascript|pixel-shader|shader-playback|shaders|shadertoy|texture|uniform|vertex-shaders|webgl,2023-03-04T03:34:23Z
snake,epidemian,epidemian/snake,A silly snake game on the browser URL,660,760,JavaScript,Unlicense,http://demian.ferrei.ro/snake,https://github.com/epidemian/snake,address-bar|game|snake-game|url|web-app,2024-01-20T14:31:16Z
virtual-background,Volcomix,Volcomix/virtual-background,Demo on adding virtual background to a live video stream in the browser,512,742,TypeScript,Apache-2.0,https://volcomix.github.io/virtual-background,https://github.com/Volcomix/virtual-background,background|bodypix|demo|mediapipe|mlkit|react|segmentation|selfie|shaders|simd|stream|tensorflow|tfjs|tflite|typescript|video|wasm|webgl,2024-04-07T10:52:19Z
bunny,Mevrael,Mevrael/bunny,"BunnyJS - Lightweight native (vanilla) JavaScript (JS) and ECMAScript 6 (ES6) browser library, package of small stand-alone components without dependencies: FormData, upload, image preview, HTML5 validation, Autocomplete, Dropdown, Calendar, Datepicker, Ajax, Datatable, Pagination, URL, Template engine, Element positioning, smooth scrolling, routing, inversion of control and more. Simple syntax and architecture. Next generation jQuery and front-end framework. Documentation and examples available.",488,738,JavaScript,MIT,https://bunnyjs.com,https://github.com/Mevrael/bunny,ajax|architecture|autocomplete|bunnyjs|datatable|datatables|datepicker|dom|es6|form|form-framework|form-validation|framework|javascript|library|smooth-scrolling|validation|vanilla|vanilla-javascript|vanilla-js,2019-05-18T17:04:12Z
quadtree-js,timohausmann,timohausmann/quadtree-js,A lightweight quadtree implementation for javascript,636,736,JavaScript,MIT,https://timohausmann.github.io/quadtree-js/,https://github.com/timohausmann/quadtree-js,algorithms|collision|game|javascript|quadtree,2023-11-11T15:17:00Z
github-breakout,cyprieng,cyprieng/github-breakout,Generate a Breakout game SVG from a GitHub user's contributions graph,532,724,TypeScript,MIT,https://www.cyprien.io/projects/github-breakout/,https://github.com/cyprieng/github-breakout,breakout|breakout-game|fortheloveofcode|github-actions|github-contribution-graph|github-readme-profile|svg|svg-animations,2025-07-19T17:43:12Z
webosu,111116,111116/webosu,➤⓵ web rhythm game (unofficial osu!) http://osugame.online/,649,709,JavaScript,MIT,,https://github.com/111116/webosu,html5|javascript|osu|pixi|rhythm-game|webgl-game,2024-07-23T15:48:02Z
react-native-sudoku,nihgwu,nihgwu/react-native-sudoku,a sudoku game written in React Native,654,704,JavaScript,MIT,http://sudoku.liteneo.com/,https://github.com/nihgwu/react-native-sudoku,,2016-11-07T14:49:46Z
pf2e,foundryvtt,foundryvtt/pf2e,A community contributed game system for Pathfinder Second Edition.,527,687,TypeScript,Apache-2.0,https://foundryvtt.com/packages/pf2e,https://github.com/foundryvtt/pf2e,foundryvtt,2025-08-26T08:17:49Z
wikitrivia,tom-james-watson,tom-james-watson/wikitrivia,Wikidata as a trivia card game.,531,674,TypeScript,MIT,https://wikitrivia.tomjwatson.com,https://github.com/tom-james-watson/wikitrivia,,2025-08-19T13:02:31Z
regl-cnn,Erkaman,Erkaman/regl-cnn,Digit recognition with Convolutional Neural Networks in WebGL,508,668,JavaScript,MIT,https://erkaman.github.io/regl-cnn/src/demo.html,https://github.com/Erkaman/regl-cnn,cnn|convolutional-neural-networks|deep-learning|demo|digit-recognition|glsl|gpgpu|gpu|javascript|regl|webgl,2016-08-17T07:08:16Z
react-native-game-engine-handbook,bberak,bberak/react-native-game-engine-handbook,A React Native app showcasing some examples using react-native-game-engine 🐒✨,617,667,JavaScript,MIT,,https://github.com/bberak/react-native-game-engine-handbook,game-2d|game-development|game-engine|react|react-native,2024-12-31T04:12:25Z
retroassembly,arianrhodsandlot,arianrhodsandlot/retroassembly,A personal retro game collection cabinet in your browser. Join us on Discord https://discord.gg/gwaKRAYG6t,331,661,TypeScript,MIT,https://retroassembly.com,https://github.com/arianrhodsandlot/retroassembly,atari|atari2600|emulator|gb|gba|gbc|megadrive|nes|nintendo|pwa|retroarch|retroarch-wasm|retroarch-web|retrogaming|sega|snes|virtualboy|webassembly,2025-08-26T16:44:40Z
Chess,itlwei,itlwei/Chess,中国象棋 - in html5,606,656,JavaScript,MIT,https://itlwei.github.io/Chess/,https://github.com/itlwei/Chess,,2022-02-13T03:31:08Z
nesbox,mantou132,mantou132/nesbox,Online multiplayer games platform,448,654,TypeScript,MIT,https://nesbox.xianqiao.wang/,https://github.com/mantou132/nesbox,emulator|fc|flutter|game|gemjs|multiplayer|nes|rust|tauri|webrtc,2025-07-13T15:14:02Z
r3f-game-demo,coldi,coldi/r3f-game-demo,A demo on how to do a simple tile-based game with React and react-three-fiber,650,650,TypeScript,MIT,,https://github.com/coldi/r3f-game-demo,,2020-10-22T08:08:02Z
LD-ToyPad-Emulator,Berny23,Berny23/LD-ToyPad-Emulator,Toy Pad Emulator for Lego Dimensions (Unofficial Fan Project),312,647,JavaScript,MIT,https://github.com/Berny23/LD-ToyPad-Emulator,https://github.com/Berny23/LD-ToyPad-Emulator,emulation|emulator|html|javascript|lego-dimensions-pad|lego-games|linux|nodejs|peripherals|raspberry-pi|server|shell-script|single-board-computers|single-page-app|single-page-applications|toypad|unofficial|usb|usb-gadget|webapp,2025-08-11T20:11:12Z
Overmind,bencbartlett,bencbartlett/Overmind,"AI for Screeps, a multiplayer programming strategy game",584,634,TypeScript,MIT,,https://github.com/bencbartlett/Overmind,ai|game|screeps|screeps-game|strategy-game,2024-09-26T21:50:24Z
minecraft-threejs,vyse12138,vyse12138/minecraft-threejs,"Minecraft clone made with three.js, demo: https://mc.yulei.me",536,626,TypeScript,MIT,https://mc.yulei.me,https://github.com/vyse12138/minecraft-threejs,javascript|minecraft|threejs|typescript,2023-04-16T05:05:35Z
angular-tetris,trungvose,trungvose/angular-tetris,Tetris game built with Angular and Akita 🎮,544,624,TypeScript,MIT,https://tetris.trungk18.com,https://github.com/trungvose/angular-tetris,akita|angular|typescript,2025-04-10T13:34:47Z
dungeon-revealer,dungeon-revealer,dungeon-revealer/dungeon-revealer,"A web app for tabletop gaming to allow the game master to reveal areas of the game map to players, roll dice and take notes.",450,623,TypeScript,ISC,,https://github.com/dungeon-revealer/dungeon-revealer,dnd5e|dungeon-master|dungeon-revealer|game-map|game-master|hacktoberfest|reveal-areas|tabletop-rpgs,2025-08-19T19:39:44Z
DouyuHTML5Player,spacemeowx2,spacemeowx2/DouyuHTML5Player,替换斗鱼的Flash弹幕播放器,596,616,TypeScript,MIT,,https://github.com/spacemeowx2/DouyuHTML5Player,html5|javascript,2018-11-12T12:30:54Z
Astray,wwwtyro,wwwtyro/Astray,A WebGL maze game built with Three.js and Box2dWeb.,564,614,JavaScript,Unlicense,https://wwwtyro.github.io/Astray,https://github.com/wwwtyro/Astray,,2023-04-09T09:59:48Z
ordinary-puzzles-app,mmazzarolo,mmazzarolo/ordinary-puzzles-app,Mobile and web puzzle game built with React-Native,493,613,TypeScript,MIT,https://www.ordinarypuzzles.com/,https://github.com/mmazzarolo/ordinary-puzzles-app,game|mobx|puzzle|react|react-native|typescript|web,2023-02-05T19:33:41Z
jeelizAR,jeeliz,jeeliz/jeelizAR,JavaScript object detection lightweight library for augmented reality (WebXR demos included). It uses convolutional neural networks running on the GPU with WebGL.,366,596,JavaScript,Apache-2.0,https://jeeliz.com,https://github.com/jeeliz/jeelizAR,ar|arcore|arkit|augmented-reality|deep|javascript|learning|network|neural|object-detection|object-recognition|object-tracking|real-time|video|vr|web|webrtc|webxr,2022-02-15T16:08:46Z
SC_Js,gloomyson,gloomyson/SC_Js,"Classic RTS game using html5 canvas and javascript, only js codes, all copyrighted materials removed",591,591,JavaScript,MIT,,https://github.com/gloomyson/SC_Js,,2017-10-09T13:03:46Z
skifree.js,basicallydan,basicallydan/skifree.js,":ski: The classic PC Game SkiFree, but in JS.",525,575,JavaScript,MIT,https://basicallydan.github.io/skifree.js,https://github.com/basicallydan/skifree.js,,2022-06-02T00:43:49Z
skPlayer,wangpengfei15975,wangpengfei15975/skPlayer,:musical_note: A simple & beautiful HTML5 music player,444,574,JavaScript,MIT,http://www.chengfeilong.com/skPlayer/,https://github.com/wangpengfei15975/skPlayer,audio|audio-player|es6|music|music-player|player|sass|webpack,2018-01-24T13:19:17Z
react-native-basketball,FaridSafi,FaridSafi/react-native-basketball,🏀 React-Native clone of the Facebook Basketball game,573,573,JavaScript,MIT,,https://github.com/FaridSafi/react-native-basketball,,2023-07-05T15:18:32Z
